sdfas,adfas,3434,343,343,343,dssfd,Satellite,Government,asfdsa,34,safs3,
afsdasf,afds,34,343,343,34,sadfas,Satellite,Government,afds,34,fsadfd,
asdfa,asdfas,34,33,333,46,fsafsd,Satellite,Commercial,safs,33,fasdfda,
asdfa,asdfas,34,33,333,46,fsafsd,Satellite,Commercial,safs,33,fasdfda,
asdfa,asdfas,34,33,333,46,fsafsd,Satellite,Commercial,safs,33,fasdfda,
asdfa,asdfas,34,33,333,46,fsafsd,Satellite,Commercial,safs,33,fasdfda,
fasdf,sfds,343,343,23,335,ffgdf,Satellite,Commercial,tdhfdh,45,dfsfg,
fasdf,sfds,343,343,23,335,ffgdf,Satellite,Commercial,tdhfdh,45,dfsfg,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
null,null,null,null,null,null,null,null,null,null,null,null,
